Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday
27,2023-09-28T17:54:23Z,Run,5426.8,2160,2248,6.1,"[40.721764722839, -74.03636693023145]","[40.7103674300015, -74.0466342587024]",Run,2023-09-28T21:54:23Z,(GMT-05:00) America/New_York,2,1,0,1,0,2.512,5.666,5.4268,36.0,6.633743642662342,2023-09-28 17:54:23+00:00,17,3
28,2023-09-26T18:13:37Z,Run,2948.4,1092,1092,4.4,"[40.72182674892247, -74.03614858165383]","[40.71518844924867, -74.03781750239432]",Run,2023-09-26T22:13:37Z,(GMT-05:00) America/New_York,0,2,0,1,0,2.7,5.305,2.9484,18.2,6.172839506172839,2023-09-26 18:13:37+00:00,18,1
29,2023-09-20T18:22:55Z,Run,3181.3,1259,1259,2.1,"[40.721857426688075, -74.03598454780877]","[40.71402152068913, -74.04116640798748]",Run,2023-09-20T22:22:55Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.527,8.114,3.1813000000000002,20.983333333333334,6.595836083781263,2023-09-20 18:22:55+00:00,18,2
30,2023-09-12T19:33:27Z,Run,2976.0,1118,1121,3.9,"[40.72199530899525, -74.03647480532527]","[40.71304905228317, -74.03463455848396]",Run,2023-09-12T23:33:27Z,(GMT-05:00) America/New_York,1,0,0,1,0,2.662,6.034,2.976,18.633333333333333,6.261200716845878,2023-09-12 19:33:27+00:00,19,1
31,2023-09-10T19:01:35Z,Run,22895.4,10264,10523,7.0,"[40.721847703680396, -74.0359463263303]","[40.72113364934921, -74.03714192099869]",Run,2023-09-10T23:01:35Z,(GMT-05:00) America/New_York,9,0,0,1,0,2.231,10.566,22.895400000000002,171.06666666666666,7.471660974111247,2023-09-10 19:01:35+00:00,19,6
32,2023-09-07T19:41:00Z,Run,424.6,182,217,0.0,"[40.72236486710608, -74.03617104515433]","[40.720487739890814, -74.03362110257149]",Run,2023-09-07T23:41:00Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.333,8.234,0.42460000000000003,3.033333333333333,7.14397864656932,2023-09-07 19:41:00+00:00,19,3
33,2023-09-05T19:19:51Z,Run,5043.5,1883,1883,7.3,"[40.721935546025634, -74.03594146482646]","[40.71996772661805, -74.03265240602195]",Run,2023-09-05T23:19:51Z,(GMT-05:00) America/New_York,1,0,0,1,0,2.678,6.132,5.0435,31.383333333333333,6.222530650011566,2023-09-05 19:19:51+00:00,19,1
34,2023-09-03T06:40:50Z,Run,16190.2,6891,7121,0.0,"[40.72184359654784, -74.0359206777066]","[40.709861582145095, -74.04221246950328]",Run,2023-09-03T10:40:50Z,(GMT-05:00) America/New_York,9,0,0,1,0,2.349,4.817,16.1902,114.85,7.09379748242764,2023-09-03 06:40:50+00:00,6,6
35,2023-08-31T18:51:40Z,Run,1611.9,566,573,0.0,"[40.721826581284404, -74.03603333048522]","[40.71246827021241, -74.03785429894924]",Run,2023-08-31T22:51:40Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.848,4.794,1.6119,9.433333333333334,5.852306801497198,2023-08-31 18:51:40+00:00,18,3
36,2023-08-18T17:45:19Z,Run,3010.3,1014,1017,0.0,"[40.721926828846335, -74.03582654893398]","[40.714762061834335, -74.0331197809428]",Run,2023-08-18T21:45:19Z,(GMT-05:00) America/New_York,2,1,0,1,0,2.969,9.524,3.0103,16.9,5.614058399495066,2023-08-18 17:45:19+00:00,17,4
37,2023-08-17T18:38:25Z,Run,5044.5,1778,1778,0.0,"[40.721895480528474, -74.03602595441043]","[40.71330185048282, -74.03451402671635]",Run,2023-08-17T22:38:25Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.837,5.556,5.0445,29.633333333333333,5.874384643340932,2023-08-17 18:38:25+00:00,18,3
38,2023-08-06T07:28:11Z,Run,21334.0,10059,10507,2.2,"[40.72190646082163, -74.03603693470359]","[40.722934920340776, -74.04062158428133]",Run,2023-08-06T11:28:11Z,(GMT-05:00) America/New_York,11,1,0,1,0,2.121,13.091,21.334,167.65,7.858348176619481,2023-08-06 07:28:11+00:00,7,6
39,2023-08-02T18:36:39Z,Run,5049.4,1929,1929,0.0,"[40.72178584523499, -74.03596669435501]","[40.721156867221, -74.03356385417283]",Run,2023-08-02T22:36:39Z,(GMT-05:00) America/New_York,2,2,0,1,0,2.618,4.05,5.0493999999999994,32.15,6.367093119974651,2023-08-02 18:36:39+00:00,18,2
40,2023-07-31T19:10:00Z,Run,5311.5,1997,2013,2.4,"[40.72181845083833, -74.03608228079975]","[40.71837415918708, -74.03278735466301]",Run,2023-07-31T23:10:00Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.66,5.012,5.3115,33.28333333333333,6.266277573817817,2023-07-31 19:10:00+00:00,19,0
41,2023-07-27T12:00:00Z,Run,3130.0,1200,1200,0.0,[],[],Run,2023-07-27T12:00:00Z,(GMT+00:00) GMT,0,2,0,1,0,2.608,0.0,3.13,20.0,6.389776357827476,2023-07-27 12:00:00+00:00,12,3
42,2023-07-25T19:33:05Z,Run,5076.4,1860,1860,0.0,"[40.721832029521465, -74.03665015473962]","[40.719554582610726, -74.0325685031712]",Run,2023-07-25T23:33:05Z,(GMT-05:00) America/New_York,5,2,1,1,0,2.729,5.142,5.0764,31.0,6.106689780159169,2023-07-25 19:33:05+00:00,19,1
43,2023-07-23T07:16:58Z,Run,14991.3,6601,6627,3.1,"[40.72189036756754, -74.03612712398171]","[40.720317335799336, -74.03152839280665]",Run,2023-07-23T11:16:58Z,(GMT-05:00) America/New_York,5,2,1,1,0,2.271,4.601,14.991299999999999,110.01666666666667,7.338700890961203,2023-07-23 07:16:58+00:00,7,6
44,2023-07-17T18:17:37Z,Run,6990.6,2810,2821,3.0,"[40.72198818437755, -74.03618571348488]","[40.72198952548206, -74.03616073541343]",Run,2023-07-17T22:17:37Z,(GMT-05:00) America/New_York,1,2,0,1,0,2.488,5.262,6.990600000000001,46.833333333333336,6.699472625144241,2023-07-17 18:17:37+00:00,18,0
45,2023-07-14T18:17:07Z,Run,3294.3,1310,1313,2.6,"[40.72190864011645, -74.03602737933397]","[40.72122048586607, -74.03173232451081]",Run,2023-07-14T22:17:07Z,(GMT-05:00) America/New_York,0,1,0,1,0,2.515,4.956,3.2943000000000002,21.833333333333332,6.627609304961093,2023-07-14 18:17:07+00:00,18,4
