Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday
76,2022-10-15T08:03:03Z,Run,10334.2,3865,3888,100.4,"[39.283188823610544, -76.62045110017061]","[39.286541165784, -76.61391656845808]",Run,2022-10-15T12:03:03Z,(GMT-05:00) America/New_York,7,0,0,17,0,2.658,5.218,10.334200000000001,64.41666666666667,6.233348170798578,2022-10-15 08:03:03+00:00,8,5
77,2022-10-13T11:48:24Z,Workout,0.0,8575,8575,0.0,[],[],Workout,2022-10-13T11:48:24Z,(GMT+00:00) GMT,0,0,0,1,0,0.0,0.0,0.0,142.91666666666666,inf,2022-10-13 11:48:24+00:00,11,3
78,2022-10-09T07:52:32Z,Run,5145.0,2282,2593,64.0,"[39.27249435335398, -76.69637680985034]","[39.272465938702226, -76.69636432081461]",Run,2022-10-09T11:52:32Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.255,3.244,5.145,38.03333333333333,7.392290249433107,2022-10-09 07:52:32+00:00,7,6
79,2022-10-07T11:57:31Z,Workout,0.0,8293,8293,0.0,[],[],Workout,2022-10-07T11:57:31Z,(GMT+00:00) GMT,0,0,0,1,0,0.0,0.0,0.0,138.21666666666667,inf,2022-10-07 11:57:31+00:00,11,4
80,2022-09-18T07:13:06Z,Run,10352.6,4138,4471,88.1,"[39.27250097505748, -76.6963196452707]","[39.25348344258964, -76.70741032809019]",Run,2022-09-18T11:13:06Z,(GMT-05:00) America/New_York,15,0,0,1,0,2.502,4.066,10.3526,68.96666666666667,6.661772565989864,2022-09-18 07:13:06+00:00,7,6
81,2022-09-07T07:03:40Z,Run,10255.8,4421,4664,124.7,"[39.27251044660807, -76.69633540324867]","[39.27221448160708, -76.69462943449616]",Run,2022-09-07T11:03:40Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.32,3.8,10.255799999999999,73.68333333333334,7.184552480872613,2022-09-07 07:03:40+00:00,7,2
82,2022-09-02T11:54:10Z,Workout,0.0,5181,5181,0.0,[],[],Workout,2022-09-02T11:54:10Z,(GMT+00:00) GMT,0,0,0,1,0,0.0,0.0,0.0,86.35,inf,2022-09-02 11:54:10+00:00,11,4
83,2022-09-01T11:42:46Z,Workout,0.0,8646,8646,0.0,[],[],Workout,2022-09-01T11:42:46Z,(GMT+00:00) GMT,0,0,0,1,0,0.0,0.0,0.0,144.1,inf,2022-09-01 11:42:46+00:00,11,3
84,2022-08-31T11:47:53Z,Workout,0.0,5931,5931,0.0,[],[],Workout,2022-08-31T11:47:53Z,(GMT+00:00) GMT,0,0,0,1,0,0.0,0.0,0.0,98.85,inf,2022-08-31 11:47:53+00:00,11,2
85,2022-08-31T09:17:10Z,Run,517.2,85,362,10.2,"[39.252915317192674, -76.71251138672233]","[39.25302260555327, -76.71257592737675]",Run,2022-08-31T13:17:10Z,(GMT-05:00) America/New_York,1,0,0,1,0,6.085,18.281,0.5172,1.4166666666666667,2.7391080175302913,2022-08-31 09:17:10+00:00,9,2
86,2022-08-30T12:59:41Z,Workout,0.0,4433,4433,0.0,[],[],Workout,2022-08-30T12:59:41Z,(GMT+00:00) GMT,0,0,0,1,0,0.0,0.0,0.0,73.88333333333334,inf,2022-08-30 12:59:41+00:00,12,1
87,2022-08-27T08:22:34Z,Run,10287.1,4768,4768,91.3,"[40.77151441946626, -73.96975452080369]","[40.773720452561975, -73.97124256007373]",Run,2022-08-27T12:22:34Z,(GMT-05:00) America/New_York,3,0,0,27,0,2.158,3.084,10.2871,79.46666666666667,7.7248852122237235,2022-08-27 08:22:34+00:00,8,5
88,2022-08-24T08:32:16Z,Run,5058.2,2007,2044,0.0,"[40.71487764827907, -74.03590919449925]","[40.71296380832791, -74.03347953222692]",Run,2022-08-24T12:32:16Z,(GMT-05:00) America/New_York,5,0,0,1,0,2.52,5.738,5.0582,33.45,6.613024396030209,2022-08-24 08:32:16+00:00,8,2
89,2022-08-20T08:28:52Z,Run,12983.3,6724,6794,65.3,"[40.71265820413828, -74.00465684942901]","[40.767693780362606, -73.96590705960989]",Run,2022-08-20T12:28:52Z,(GMT-05:00) America/New_York,1,0,0,1,0,1.931,6.703,12.9833,112.06666666666666,8.631601108090136,2022-08-20 08:28:52+00:00,8,5
90,2022-08-07T07:02:21Z,Run,10386.5,5172,5213,5.5,"[40.71463239379227, -74.03594188392162]","[40.71241135708988, -74.03357164934278]",Run,2022-08-07T11:02:21Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.008,5.574,10.3865,86.2,8.299234583353392,2022-08-07 07:02:21+00:00,7,6
91,2022-08-03T07:44:12Z,Run,5247.3,2199,2237,0.0,"[40.71460800245404, -74.03605839237571]","[40.713324984535575, -74.03334341011941]",Run,2022-08-03T11:44:12Z,(GMT-05:00) America/New_York,3,0,0,1,0,2.386,4.586,5.2473,36.65,6.9845444323747445,2022-08-03 07:44:12+00:00,7,2
92,2022-07-31T08:24:41Z,Run,10011.2,5174,5370,0.0,"[40.714741945266724, -74.03599133715034]","[40.710339685902, -74.04640308581293]",Run,2022-07-31T12:24:41Z,(GMT-05:00) America/New_York,11,0,0,1,0,1.935,4.206,10.0112,86.23333333333333,8.613686005007724,2022-07-31 08:24:41+00:00,8,6
93,2022-07-24T08:47:17Z,Run,9517.1,5459,5749,5.2,"[40.71463876403868, -74.03591690585017]","[40.71441890671849, -74.0346946567297]",Run,2022-07-24T12:47:17Z,(GMT-05:00) America/New_York,4,0,0,1,0,1.743,4.456,9.517100000000001,90.98333333333333,9.55998500943915,2022-07-24 08:47:17+00:00,8,6
94,2022-07-18T08:38:45Z,Run,5376.1,2906,3058,0.0,"[40.71463180705905, -74.0359656047076]","[40.70491491816938, -74.04122499749064]",Run,2022-07-18T12:38:45Z,(GMT-05:00) America/New_York,6,0,0,1,0,1.85,4.018,5.3761,48.43333333333333,9.009009009009008,2022-07-18 08:38:45+00:00,8,0
95,2022-07-10T10:40:05Z,Run,1986.7,1328,1657,2.1,"[40.71589705534279, -74.0447517670691]","[40.7140869833529, -74.0346959978342]",Run,2022-07-10T14:40:05Z,(GMT-05:00) America/New_York,2,0,0,1,0,1.496,5.508,1.9867000000000001,22.133333333333333,11.140752671935033,2022-07-10 10:40:05+00:00,10,6
96,2022-07-10T08:53:17Z,Run,10250.2,4645,5119,0.0,"[40.71456139907241, -74.03596443124115]","[40.71052358485758, -74.04813998378813]",Run,2022-07-10T12:53:17Z,(GMT-05:00) America/New_York,11,0,0,1,0,2.207,4.472,10.250200000000001,77.41666666666667,7.552698158735113,2022-07-10 08:53:17+00:00,8,6
97,2022-07-03T10:10:13Z,Run,3457.6,1880,8503,7.2,"[40.7148711103946, -74.04965534806252]","[40.7147432025522, -74.03541893698275]",Run,2022-07-03T14:10:13Z,(GMT-05:00) America/New_York,4,0,0,1,0,1.839,9.919,3.4576,31.333333333333332,9.062162579052908,2022-07-03 10:10:13+00:00,10,6
98,2022-07-03T08:31:25Z,Run,10300.5,4915,5051,0.0,"[40.714426366612315, -74.03611312620342]","[40.71028796955943, -74.0460607688874]",Run,2022-07-03T12:31:25Z,(GMT-05:00) America/New_York,4,0,0,1,0,2.096,5.975,10.3005,81.91666666666667,7.952688380822938,2022-07-03 08:31:25+00:00,8,6
99,2022-06-25T09:04:56Z,Run,7321.8,4205,4439,6.2,"[40.71457321755588, -74.03588220477104]","[40.71482811123133, -74.03567642904818]",Run,2022-06-25T13:04:56Z,(GMT-05:00) America/New_York,7,0,0,1,0,1.741,4.65,7.3218000000000005,70.08333333333333,9.571872126162054,2022-06-25 09:04:56+00:00,9,5
100,2022-06-18T09:43:07Z,Run,10564.2,5277,5681,150.0,"[39.27250860258937, -76.69637337327003]","[39.27244707942009, -76.69636331498623]",Run,2022-06-18T13:43:07Z,(GMT-05:00) America/New_York,3,0,0,1,0,2.002,3.502,10.564200000000001,87.95,8.325287291039547,2022-06-18 09:43:07+00:00,9,5
101,2022-06-12T09:20:44Z,Run,7857.2,3900,4113,116.6,"[39.27252494730055, -76.69631998054683]","[39.27245143800974, -76.69639013707638]",Run,2022-06-12T13:20:44Z,(GMT-05:00) America/New_York,6,0,0,1,0,2.015,3.326,7.8572,65.0,8.272667107875579,2022-06-12 09:20:44+00:00,9,6
102,2022-05-28T11:11:38Z,Run,6067.2,3334,3555,88.2,"[39.272494772449136, -76.69640866108239]","[39.27246367558837, -76.69636884704232]",Run,2022-05-28T15:11:38Z,(GMT-05:00) America/New_York,3,0,0,1,0,1.82,3.172,6.0672,55.56666666666667,9.158535513361464,2022-05-28 11:11:38+00:00,11,5
103,2022-05-22T07:13:30Z,Run,4587.6,2263,2478,56.6,"[39.272621758282185, -76.69633297249675]","[39.27250734530389, -76.69635468162596]",Run,2022-05-22T11:13:30Z,(GMT-05:00) America/New_York,5,0,0,1,0,2.027,3.557,4.5876,37.71666666666667,8.221437498183509,2022-05-22 07:13:30+00:00,7,6
104,2022-05-21T07:27:40Z,Run,4313.6,2182,2426,55.0,"[39.27257808856666, -76.69626507908106]","[39.27250818349421, -76.69635669328272]",Run,2022-05-21T11:27:40Z,(GMT-05:00) America/New_York,4,0,0,1,0,1.977,3.874,4.3136,36.36666666666667,8.430699802176063,2022-05-21 07:27:40+00:00,7,5
105,2022-03-16T12:12:54Z,Run,2764.0,955,1009,38.5,"[39.25251114182174, -76.7134093400091]","[39.252579705789685, -76.71341864392161]",Run,2022-03-16T16:12:54Z,(GMT-05:00) America/New_York,0,0,0,2,0,2.739,4.77,2.764,15.916666666666666,5.7585624698504585,2022-03-16 12:12:54+00:00,12,2
