Sr. no.,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,sport_type,start_date,timezone,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,distance_km,duration_min,pace_min_per_km,start_dt,hour,weekday,playlist_id,intensity,mood,lyrics,music_condition,temp,humidity,windspeed,precip,conditions
22,2023-10-10T18:46:43Z,Run,5266.2,2058,2066,0.0,"[40.72189330123365, -74.03619250282645]","[40.72021683678031, -74.03184615075588]",Run,2023-10-10T22:46:43Z,(GMT-05:00) America/New_York,2,1,0,3,0,2.559,3.869,5.2661999999999995,34.3,6.513235349967719,2023-10-10 18:46:43+00:00,18,1,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,16.3,53.2,10.0,0.0,Overcast
23,2023-10-08T18:26:49Z,Run,10078.3,4228,4727,4.3,"[40.72191341780126, -74.0360364317894]","[40.71318165399134, -74.03360391966999]",Run,2023-10-08T22:26:49Z,(GMT-05:00) America/New_York,4,2,0,1,0,2.384,4.828,10.0783,70.46666666666667,6.991919933586684,2023-10-08 18:26:49+00:00,18,6,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,14.5,50.79,15.6,0.0,Partially cloudy
24,2023-10-04T18:33:38Z,Run,5097.6,1988,2002,2.4,"[40.721907299011946, -74.0360414609313]","[40.71318978443742, -74.03391773812473]",Run,2023-10-04T22:33:38Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.564,7.114,5.097600000000001,33.13333333333333,6.49979075120318,2023-10-04 18:33:38+00:00,18,2,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,23.3,63.85,4.0,0.0,Clear
25,2023-10-01T19:25:32Z,Walk,1864.9,1348,1401,4.9,"[40.71535239927471, -74.048425052315]","[40.721752820536494, -74.03677772730589]",Walk,2023-10-01T23:25:32Z,(GMT-05:00) America/New_York,0,0,0,1,0,1.383,3.572,1.8649,22.466666666666665,12.04711602051942,2023-10-01 19:25:32+00:00,19,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,23.4,54.24,7.8,0.0,Clear
26,2023-10-01T18:22:23Z,Run,5317.7,2116,2116,0.0,"[40.721897492185235, -74.03605646453798]","[40.708297519013286, -74.03827909380198]",Run,2023-10-01T22:22:23Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.513,4.234,5.317699999999999,35.266666666666666,6.631939873754945,2023-10-01 18:22:23+00:00,18,6,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,24.2,51.19,12.3,0.0,Clear
27,2023-09-28T17:54:23Z,Run,5426.8,2160,2248,6.1,"[40.721764722839, -74.03636693023145]","[40.7103674300015, -74.0466342587024]",Run,2023-09-28T21:54:23Z,(GMT-05:00) America/New_York,2,1,0,1,0,2.512,5.666,5.4268,36.0,6.633743642662342,2023-09-28 17:54:23+00:00,17,3,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,15.3,84.47,12.7,0.842,"Rain, Overcast"
28,2023-09-26T18:13:37Z,Run,2948.4,1092,1092,4.4,"[40.72182674892247, -74.03614858165383]","[40.71518844924867, -74.03781750239432]",Run,2023-09-26T22:13:37Z,(GMT-05:00) America/New_York,0,2,0,1,0,2.7,5.305,2.9484,18.2,6.172839506172839,2023-09-26 18:13:37+00:00,18,1,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,16.2,78.56,12.4,0.0,Overcast
29,2023-09-20T18:22:55Z,Run,3181.3,1259,1259,2.1,"[40.721857426688075, -74.03598454780877]","[40.71402152068913, -74.04116640798748]",Run,2023-09-20T22:22:55Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.527,8.114,3.1813,20.983333333333334,6.595836083781263,2023-09-20 18:22:55+00:00,18,2,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,22.9,42.93,9.7,0.0,Clear
30,2023-09-12T19:33:27Z,Run,2976.0,1118,1121,3.9,"[40.72199530899525, -74.03647480532527]","[40.71304905228317, -74.03463455848396]",Run,2023-09-12T23:33:27Z,(GMT-05:00) America/New_York,1,0,0,1,0,2.662,6.034,2.976,18.633333333333333,6.261200716845878,2023-09-12 19:33:27+00:00,19,1,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,24.2,75.92,5.7,0.0,Partially cloudy
31,2023-09-10T19:01:35Z,Run,22895.4,10264,10523,7.0,"[40.721847703680396, -74.0359463263303]","[40.72113364934921, -74.03714192099869]",Run,2023-09-10T23:01:35Z,(GMT-05:00) America/New_York,9,0,0,1,0,2.231,10.566,22.8954,171.06666666666666,7.471660974111247,2023-09-10 19:01:35+00:00,19,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,23.8,79.62,3.5,0.0,Partially cloudy
32,2023-09-07T19:41:00Z,Run,424.6,182,217,0.0,"[40.72236486710608, -74.03617104515433]","[40.720487739890814, -74.03362110257149]",Run,2023-09-07T23:41:00Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.333,8.234,0.4246,3.033333333333333,7.14397864656932,2023-09-07 19:41:00+00:00,19,3,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,29.2,53.22,9.9,0.0,Partially cloudy
33,2023-09-05T19:19:51Z,Run,5043.5,1883,1883,7.3,"[40.721935546025634, -74.03594146482646]","[40.71996772661805, -74.03265240602195]",Run,2023-09-05T23:19:51Z,(GMT-05:00) America/New_York,1,0,0,1,0,2.678,6.132,5.0435,31.383333333333333,6.222530650011566,2023-09-05 19:19:51+00:00,19,1,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,31.2,53.75,5.6,0.0,Partially cloudy
34,2023-09-03T06:40:50Z,Run,16190.2,6891,7121,0.0,"[40.72184359654784, -74.0359206777066]","[40.709861582145095, -74.04221246950328]",Run,2023-09-03T10:40:50Z,(GMT-05:00) America/New_York,9,0,0,1,0,2.349,4.817,16.1902,114.85,7.09379748242764,2023-09-03 06:40:50+00:00,6,6,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,20.0,78.34,7.2,0.0,Clear
35,2023-08-31T18:51:40Z,Run,1611.9,566,573,0.0,"[40.721826581284404, -74.03603333048522]","[40.71246827021241, -74.03785429894924]",Run,2023-08-31T22:51:40Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.848,4.794,1.6119,9.433333333333334,5.852306801497198,2023-08-31 18:51:40+00:00,18,3,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,23.0,40.12,16.9,0.0,Clear
36,2023-08-18T17:45:19Z,Run,3010.3,1014,1017,0.0,"[40.721926828846335, -74.03582654893398]","[40.714762061834335, -74.0331197809428]",Run,2023-08-18T21:45:19Z,(GMT-05:00) America/New_York,2,1,0,1,0,2.969,9.524,3.0103,16.9,5.614058399495066,2023-08-18 17:45:19+00:00,17,4,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,25.9,41.74,21.6,0.0,Partially cloudy
37,2023-08-17T18:38:25Z,Run,5044.5,1778,1778,0.0,"[40.721895480528474, -74.03602595441043]","[40.71330185048282, -74.03451402671635]",Run,2023-08-17T22:38:25Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.837,5.556,5.0445,29.633333333333333,5.874384643340932,2023-08-17 18:38:25+00:00,18,3,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,24.0,81.88,13.6,0.0,Overcast
38,2023-08-06T07:28:11Z,Run,21334.0,10059,10507,2.2,"[40.72190646082163, -74.03603693470359]","[40.722934920340776, -74.04062158428133]",Run,2023-08-06T11:28:11Z,(GMT-05:00) America/New_York,11,1,0,1,0,2.121,13.091,21.334,167.65,7.858348176619481,2023-08-06 07:28:11+00:00,7,6,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,21.3,64.2,7.8,0.0,Clear
39,2023-08-02T18:36:39Z,Run,5049.4,1929,1929,0.0,"[40.72178584523499, -74.03596669435501]","[40.721156867221, -74.03356385417283]",Run,2023-08-02T22:36:39Z,(GMT-05:00) America/New_York,2,2,0,1,0,2.618,4.05,5.0493999999999994,32.15,6.367093119974651,2023-08-02 18:36:39+00:00,18,2,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,24.3,42.57,8.8,0.0,Partially cloudy
40,2023-07-31T19:10:00Z,Run,5311.5,1997,2013,2.4,"[40.72181845083833, -74.03608228079975]","[40.71837415918708, -74.03278735466301]",Run,2023-07-31T23:10:00Z,(GMT-05:00) America/New_York,1,1,0,1,0,2.66,5.012,5.3115,33.28333333333333,6.266277573817817,2023-07-31 19:10:00+00:00,19,0,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,27.0,40.13,7.4,0.0,Partially cloudy
41,2023-07-27T12:00:00Z,Run,3130.0,1200,1200,0.0,[],[],Run,2023-07-27T12:00:00Z,(GMT+00:00) GMT,0,2,0,1,0,2.608,0.0,3.13,20.0,6.389776357827476,2023-07-27 12:00:00+00:00,12,3,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,,,,,
42,2023-07-25T19:33:05Z,Run,5076.4,1860,1860,0.0,"[40.721832029521465, -74.03665015473962]","[40.719554582610726, -74.0325685031712]",Run,2023-07-25T23:33:05Z,(GMT-05:00) America/New_York,5,2,1,1,0,2.729,5.142,5.0764,31.0,6.106689780159169,2023-07-25 19:33:05+00:00,19,1,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,21.7,86.15,3.1,0.0,Partially cloudy
43,2023-07-23T07:16:58Z,Run,14991.3,6601,6627,3.1,"[40.72189036756754, -74.03612712398171]","[40.720317335799336, -74.03152839280665]",Run,2023-07-23T11:16:58Z,(GMT-05:00) America/New_York,5,2,1,1,0,2.271,4.601,14.9913,110.01666666666668,7.338700890961203,2023-07-23 07:16:58+00:00,7,6,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,21.7,69.74,4.2,0.0,Clear
44,2023-07-17T18:17:37Z,Run,6990.6,2810,2821,3.0,"[40.72198818437755, -74.03618571348488]","[40.72198952548206, -74.03616073541343]",Run,2023-07-17T22:17:37Z,(GMT-05:00) America/New_York,1,2,0,1,0,2.488,5.262,6.990600000000001,46.833333333333336,6.699472625144241,2023-07-17 18:17:37+00:00,18,0,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,30.1,48.48,10.6,0.0,Clear
45,2023-07-14T18:17:07Z,Run,3294.3,1310,1313,2.6,"[40.72190864011645, -74.03602737933397]","[40.72122048586607, -74.03173232451081]",Run,2023-07-14T22:17:07Z,(GMT-05:00) America/New_York,0,1,0,1,0,2.515,4.956,3.2943,21.833333333333332,6.627609304961093,2023-07-14 18:17:07+00:00,18,4,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,27.7,73.72,4.3,0.0,Partially cloudy
46,2023-07-13T18:54:20Z,Run,5436.7,2074,2090,0.0,"[40.72229839861393, -74.03602763079107]","[40.719090308994055, -74.03258543461561]",Run,2023-07-13T22:54:20Z,(GMT-05:00) America/New_York,3,2,0,1,0,2.621,8.796,5.4367,34.56666666666667,6.358023555956126,2023-07-13 18:54:20+00:00,18,3,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,30.2,61.14,12.3,0.0,Clear
47,2023-07-12T09:11:57Z,Run,7523.6,3118,3462,3.1,"[40.72183320298791, -74.03605244122446]","[40.710172299295664, -74.04491471126676]",Run,2023-07-12T13:11:57Z,(GMT-05:00) America/New_York,5,2,0,1,0,2.413,8.062,7.5236,51.96666666666667,6.90715437645099,2023-07-12 09:11:57+00:00,9,2,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,27.0,53.29,8.2,0.0,Clear
48,2023-07-09T17:20:57Z,Run,7531.1,3293,4352,5.0,"[40.72186555713415, -74.0360240265727]","[40.72163974866271, -74.03653406538069]",Run,2023-07-09T21:20:57Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.287,5.102,7.5311,54.88333333333333,7.287558701030836,2023-07-09 17:20:57+00:00,17,6,7pWNfjCrJmS4ILho1S4CvK,1,2,0,slow,25.2,82.06,9.0,0.474,"Rain, Partially cloudy"
49,2023-07-07T18:17:30Z,Run,5474.7,2077,2253,11.6,"[40.72197401896119, -74.03587675653398]","[40.72187913581729, -74.03609468601644]",Run,2023-07-07T22:17:30Z,(GMT-05:00) America/New_York,3,1,0,1,0,2.636,6.186,5.4746999999999995,34.61666666666667,6.3230253103670835,2023-07-07 18:17:30+00:00,18,4,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,27.2,70.7,6.1,0.0,Partially cloudy
50,2023-07-05T17:34:26Z,Run,2981.8,938,1018,0.0,"[40.721904281526804, -74.03602821752429]","[40.713261533528566, -74.03400180861354]",Run,2023-07-05T21:34:26Z,(GMT-05:00) America/New_York,5,2,0,1,0,3.179,7.2,2.9818,15.633333333333333,5.242918147874885,2023-07-05 17:34:26+00:00,17,2,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,31.1,47.87,11.8,0.0,Partially cloudy
51,2023-06-29T18:35:40Z,Run,3080.0,2358,3471,2.1,"[40.71632637642324, -74.03278291225433]","[40.714248921722174, -74.03329705819488]",Run,2023-06-29T22:35:40Z,(GMT-05:00) America/New_York,0,2,0,1,0,1.306,3.335,3.08,39.3,12.759740259740258,2023-06-29 18:35:40+00:00,18,3,5Egmw4o1GAN8QkhXGaxao6,3,3,1,medium,26.0,55.12,10.1,0.0,Partially cloudy
52,2023-06-25T19:18:27Z,Run,11824.4,4586,4953,3.2,"[40.721878465265036, -74.03610549867153]","[40.71934469975531, -74.03229005634785]",Run,2023-06-25T23:18:27Z,(GMT-05:00) America/New_York,10,2,0,1,0,2.578,6.318,11.8244,76.43333333333334,6.464034820653339,2023-06-25 19:18:27+00:00,19,6,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,26.0,70.06,3.2,0.0,Clear
53,2023-06-23T18:39:04Z,Run,2222.6,811,951,2.9,"[40.7218683231622, -74.03607456944883]","[40.71680288761854, -74.03274393640459]",Run,2023-06-23T22:39:04Z,(GMT-05:00) America/New_York,0,0,0,1,0,2.741,5.238,2.2226,13.516666666666667,6.081466150754372,2023-06-23 18:39:04+00:00,18,4,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,21.8,85.54,7.2,0.0,Overcast
54,2023-06-18T08:39:23Z,Run,10513.1,4087,4101,2.4,"[40.72195532731712, -74.03633784502745]","[40.72191081941128, -74.03198914602399]",Run,2023-06-18T12:39:23Z,(GMT-05:00) America/New_York,16,2,0,1,0,2.572,4.868,10.5131,68.11666666666666,6.479217991521688,2023-06-18 08:39:23+00:00,8,6,5ymkuBk3C1Iu4KTdJBK9vy,5,4,1,fast,21.3,52.95,13.6,0.0,Clear
